brand,category,description,important_info,name,price,store
Breath Savers,Sports & Energy Drinks,"5 Hour Energy, Berry (2 Count, 2 Fl Oz Each)","Important information

Safety Warning
*This statement has not been evaluated by the food and drug administration. This product is not intended to diagnose, treat, cure or prevent any disease.Caution: Contains caffeine comparable to a cup of the leading premium coffee. Limit caffeine products to avoid nervousness, sleeplessness, and occasional rapid heartbeat. You may experience a niacin flush (hot feeling, skin redness) that lasts a few minutes. This is caused by niacin (Vitamin B3) increasing blood flow near the skin.Do not take if you are pregnant or nursing, or under 12 years of age.Phenylketonurics: contains phenylalanine.


Ingredients
Purified Water, Natural And Artificial Flavors; Sucralose; Potassium Sorbate, Sodium Benzoate And Edta


Directions
Recommended use: Drink one half (1/2) bottle (one ounce) for moderate energy. Drink one whole bottle (two ounces) for maximum energy. Do not exceed two bottles daily, consumed several hours apart. Use or discard any remainder within 72 hours (three days) after opening. Refrigeration not required.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","5 Hour Energy, Berry, 1.93 Ounce, 2 Count",5.49,Amazon
Propel,Sports & Energy Drinks,"Vitamin Enhanced Water Beverage. With other natural flavors. No fruit juice. Propel Fitness Water, hydrates and nourishes your active body with a splash of fruit flavor and essential vitamins. It contains antioxidant Vitamins C and E, along with B Vitamin","Important information

Ingredients
Water, Citric Acid, Sodium Hexametaphosphate (To Protect Flavor), Natural Flavor, Potassium Sorbate (Preserves Freshness), Ascorbic Acid (Vitamin C), Sucralose, Sodium Citrate, Potassium Citrate, Acesulfame Potassium, Niacinamide (Vitamin B3), Calcium Disodium Edta (To Protect Flavor), Vitamin E Acetate, Calcium Pantothenate (Vitamin B5), Pyridoxine Hydrochloride (Vitamin B6).


Directions
Refrigerate after opening.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Propel Zero Nutrient Enhanced Water, Lemon, 6 pk, 16.9 oz",4.99,Amazon
Red Bull,Sports & Energy Drinks,"RED BULL GIVES YOU WINGS  In 1987, Red Bull not only launched a completely new product, it created a whole new product category — energy drinks. From day one, Red Bull has been giving wings to people and ideas, setting many milestones in sports and culture.  When To Drink Red Bull is appreciated worldwide by a variety of people such as top athletes, busy professionals, college students and travelers on long journeys. For those who wish to have Red Bull’s benefits without sugars: The sugar free variant Red Bull Sugarfree provides the wings of Red Bull Energy Drinks without sugars. Red Bull was the first global energy drink brand to address the consumer need for sugar free energy drinks and launched its Red Bull sugar free variants.  What's Inside The Can Caffeine: Caffeine has already been known for its stimulating effects on the human body by ancient civilizations who consumed it from natural sources like tea, coffee, cacao beans & cola nuts. Taurine: Taurine is an amino acid, naturally occurring in the human body and present in the daily diet. It is involved in a wide range of biological processes. B-group vitamins: Vitamins are essential micronutrients that are required for maintaining normal body functions. B-group vitamins play an important role in energy metabolism, such as the build-up and breakdown of carbohydrates and protein. Sugars: Sugars are well known carbohydrates and can be found in many foodstuffs from fruits and fruit juices to other beverages including energy drinks.  4 Red Bull The Blue Edition  You add to your basket a 4 pack of Red Bull Blueberry, 8.4 Fl Oz per can.  Sustainability Red Bull is very aware of its environmental responsibility and is constantly striving for improvement. Red Bull has made a conscious decision to use 100% recyclable aluminium cans, and we developed our Red Bull Coolers which use up to 45% less energy than conventional fridges.  MEET THE OTHER RED BULL EDITIONS Red Bull The Orange Edition – the taste of Tangerine Red Bull The Yellow Edition – the taste of Tropical Red Bull The Green Edition – the taste of Kiwi Apple  Red Bull The Red Edition – the taste of Cranberry Red Bull The Summer Edition - the taste of Coconut Berry",,"Red Bull Energy Drink, Blueberry, 4 Pack of 8.4 Fl Oz, Blue Edition",7.79,Amazon
Gatorade,Sports & Energy Drinks,"With a legacy over 40 years in the making, it’s the most scientifically researched and game-tested way to replace electrolytes lost in sweat. Gatorade Thirst Quencher hydrates better than water, which is why it’s trusted by some of the world’s best athletes. Whether you play soccer, baseball, volleyball, or any other sport, Gatorade will help you stay hydrated and bring the energy needed to compete. It’s also great to store in your cooler or sports bottle when going camping, hitting the beach, tailgating at the big game, having a picnic, or enjoying the great outdoors. Beat the heat and stay hydrated with Gatorade Thirst Quencher.","Important information

Safety Warning
This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Ingredients
Water, Sugar, Dextrose, Citric Acid, Natural Flavor, Salt, Sodium Citrate, Monopotassium Phosphate, Gum Arabic, Sucrose Acetate Isobutyrate, Glycerol Ester Of Rosin, Yellow 6.


Directions
Refrigerate after opening.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade Thirst Quencher, Orange, 12 Fl Oz, Pack of 6",4.99,Amazon
Optimum Nutrition,Sports & Energy Drinks,"ON Protein Water is a refreshing way to drink your daily protein needs while supporting muscle recovery and hydration.  20g of fast-acting 100% whey protein isolate with 0 fat and 0 sugar in every ""chuggable"" bottle, from the world leader in sports nutrition.",,"OPTIMUM NUTRITION Protein Water, Orange Freeze, 192 Ounce, 12 Count",31.40,Amazon
Gatorade,Sports & Energy Drinks,Gatorade: Rapidly Replace What Athletes Lose During ActivityGatorade is scientifically formulated to rapidly replace what athletes lose during activity so they can perform at their best. Its proprietary formula of electrolytes carbohydrates and flavor. Delays fatigue and maintains strength.,"Important information

Ingredients
Water, Sugar, Citric Acid, Salt, Sodium Citrate, Natural And Artificial Flavor, Monopotassium Phosphate, Sucralose, Red 40, Acesulfame Potassium.


Directions
Refrigerated after opening.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade G2, Low Calorie Fruit Punch, 8 Pack, 20 oz",6.99,Amazon
Mio,Sports & Energy Drinks,"MiO Energy Acai Berry Storm Liquid Water Enhancer provides delicious acai flavor with a boost of caffeine and B vitamins. Just a squeeze will transform plain water into an instant acai berry flavored drink with the exotic flavor you love. Made with natural flavors, this acai flavor water enhancer delivers 60 milligrams of caffeine per squeeze. It's packed in a travel sized 1.62 fluid ounce bottle you can take on the go, helping you stay awake and motivated no matter where life takes you. This sugar free water enhancer doesn't need to be refrigerated. Just one squeeze packs enough flavor for 8 ounces. Whenever you're craving something fruity, turn your bottled water into cool acai flavored water for a delicious caffeine fix anytime, anywhere.","Important information

Safety Warning
Caution: Contains caffeine - 60mg/squeeze (1/2 tsp) - 18 servings/bottle.For adult use only. Always dilute. Use caffeine in moderation. Do not add to alcohol or caffeinated drinks. Consult doctor if pregnant/nursing.


Ingredients
Water, Citric Acid, Propylene Glycol, Malic Acid, Caffeine, Contains Less Than 2% Of Taurine, Guarana Extract, Ginseng Extract (Panax), Niacinamide, Vitamin B6, Vitamin B12, Natural Flavor, Sucralose And Acesulfame Potassium (Sweeteners), Sodium Citrate, Potassium Citrate, Red 40, Blue 1, Potassium Sorbate (Preservative).


Directions
1 squeeze (1/2 tsp) per 8 fl oz serving of water.Always dilute.For best quality use within 1 month of opening.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","MiO Energy Acai Berry Storm Liquid Water Enhancer, Caffeinated, 1.62 fl oz Bottle",5.79,Amazon
Gatorade,Sports & Energy Drinks,"Developed for athletes that prefer a performance boost and not a sugar rush. Gatorade Zero has no sugar while maintaining the same proven hydration and fueling benefits of Gatorade Thirst Quencher. With three refreshing flavors to keep you in the game, you won’t even miss what’s missing.",,"Gatorade Zero Sugar Thirst Quencher, Glacier Freeze, 20 Fl Oz, Pack of 8",6.99,Amazon
Monster Energy,Sports & Energy Drinks,"Pack of 10, 16 fluid ounce cans","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Monster Energy, Lo-Carb, 16 Fl Oz  (Pack of 10)",16.99,Amazon
PlantFusion,Sports & Energy Drinks,"Flavor:Chocolate
            
          
            
            
            
                 | 
            
             Size:15.8 Ounce


PlantFusion Complete Protein Powder, Chocolate, No Soy or Rice, 15 Servings, 21g Protein, 1lb Tub",,"PlantFusion Complete Plant Based Pea Protein Powder, Non-GMO, Vegan, Dairy Free, Gluten Free, Soy Free, Allergy Free w/Digestive Enzymes, Dietary Supplement, Chocolate, (15 Servings) 1 Pound",$33.99,Whole Foods Market
Gatorade,Sports & Energy Drinks,"Developed for athletes that prefer a performance boost and not a sugar rush. Gatorade Zero has no sugar while maintaining the same proven hydration and fueling benefits of Gatorade Thirst Quencher. With three refreshing flavors to keep you in the game, you won’t even miss what’s missing.",,"Gatorade Zero Sugar Thirst Quencher, Glacier Cherry, 20 Fluid Ounce, Pack of 8",6.79,Amazon
Monster Energy,Sports & Energy Drinks,Monster energy drink absolutely zero.,"Important information

Ingredients
Ingredients: Carbonated Water, Citric Acid, Erythritol, Natural Flavors, Taurine, Sodium Citrate, Panax Ginseng Extract, Caffeine, Sorbic Acid (Preservative), Sucralose, Benzoic Acid (Preservative), L-Carnitine--L-Tartrate, Niacinamide (Vit. B3), Color Added, Acesulfame Potassium, Salt, D-Glucuronolactone, Guarana Extract, Inositol, Pyridoxine Hydrochloride (Vit. B6), Riboflavin (Vit. B2), Cyanocobalamin(Vit. B12).


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Monster Energy, Absolutely Zero, 16 fl oz, 4 Pack",8.09,Amazon
Monster Energy,Sports & Energy Drinks,"Tear into a can of the meanest energy drink on the planet, Monster Energy. It's the ideal combo of the right ingredients in the right proportion to deliver the big bad buzz that only Monster can. Monster packs a powerful punch but has a smooth easy drinking flavor. Athletes, musicians, anarchists, co-ed’s, road warriors, metal heads, geeks, hipsters, and bikers dig it- you will too. Unleash the Beast!",,"Monster Energy, Original, 16 Ounce (Pack of 4)",5.92,Amazon
Red Bull,Sports & Energy Drinks,"RED BULL GIVES YOU WINGS  In 1987, Red Bull not only launched a completely new product, it created a whole new product category — energy drinks. From day one, Red Bull has been giving wings to people and ideas, setting many milestones in sports and culture.  When To Drink Red Bull is appreciated worldwide by a variety of people such as top athletes, busy professionals, college students and travelers on long journeys. For those who wish to have Red Bull’s benefits without sugars: The sugar free variant Red Bull Sugarfree provides the wings of Red Bull Energy Drinks without sugars. Red Bull was the first global energy drink brand to address the consumer need for sugar free energy drinks and launched its Red Bull sugar free variants.  What's Inside The Can Caffeine: Caffeine has already been known for its stimulating effects on the human body by ancient civilizations who consumed it from natural sources like tea, coffee, cacao beans & cola nuts. Taurine: Taurine is an amino acid, naturally occurring in the human body and present in the daily diet. It is involved in a wide range of biological processes. B-group vitamins: Vitamins are essential micronutrients that are required for maintaining normal body functions. B-group vitamins play an important role in energy metabolism, such as the build-up and breakdown of carbohydrates and protein. Sugars: Sugars are well known carbohydrates and can be found in many foodstuffs from fruits and fruit juices to other beverages including energy drinks.  24 Red Bull Energy Drink  You add to your basket a 24 pack of Red Bull Energy Drink, 8.4 Fl Oz per can.  Sustainability Red Bull is very aware of its environmental responsibility and is constantly striving for improvement. Red Bull has made a conscious decision to use 100% recyclable aluminum cans, and we developed our Red Bull Coolers which use up to 45% less energy than conventional fridges.",,Red Bull Energy Drink 8.4 Oz  24 Pack,42.99,Amazon
Monster Energy,Sports & Energy Drinks,"Pack of 4, 16 fluid ounce Cans","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Monster Energy, Ultra Red, 16 fl oz, 4 Pack",7.99,Amazon
Gatorade,Sports & Energy Drinks,"With a legacy over 40 years in the making, it’s the most scientifically researched and game-tested way to replace electrolytes lost in sweat. Gatorade Thirst Quencher hydrates better than water, which is why it’s trusted by some of the world’s best athletes. Whether you play soccer, baseball, volleyball, or any other sport, Gatorade will help you stay hydrated and bring the energy needed to compete. It’s also great to store in your cooler or sports bottle when going camping, hitting the beach, tailgating at the big game, having a picnic, or enjoying the great outdoors. Beat the heat and stay hydrated with Gatorade Thirst Quencher.","Important information

Ingredients
Water, Sugar, Dextrose, Citric Acid, Natural Flavor, Salt, Sodium Citrate, Monopotassium Phosphate, Modified Food Starch, Red 40, Glycerol Ester Of Rosin, Caramel Color.


Directions
Shake well. Refrigerate after opening.


Legal Disclaimer
Some states impose a bottle deposit fee on certain beverages shipped to those states, and Amazon may not be able to ship these beverages to all locations.
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade Thirst Quencher, Fruit Punch, 64 oz",3.09,Amazon
Gatorade,Sports & Energy Drinks,Gatorade G Series Fierce Grape Sports Drink 8-20 fl. oz. Bottle,,"Gatorade Thirst Quencher, Fierce Grape, 20 Ounce (Pack of 8)",5.79,Amazon
Manitoba Harvest,Sports & Energy Drinks,"Manitoba Harvest Organic Hemp PRO FIBER is packed with 13g fiber per 30g serving. One serving of hemp PRO FIBER represents 52% of the recommended daily intake (RDI) fiber- greater than a similar serving of Metamucil or bran cereal. Fiber is an important part of any diet, aiding in digestive health and helping You feel full longer. Plus, with hemp PRO FIBER you are also benefitting from protein and healthy omegas. Blend into smoothies, or add to baking recipes like you would spelt flour. Made with only organic hemp.","Important information

Safety Warning
Refrigerate after opening. Best consumed within 8 weeks after opening. This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Ingredients
Organic Hemp Protein Powder


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Manitoba Harvest Hemp Yeah! Organic Max Fiber Protein Powder, Unsweetened, 16oz; with 13g of Fiber, 13g Protein and 2.5g Omegas 3&6 per Serving, Keto-Friendly, Preservative Free, Non-GMO",4.99,Bristol Farms
Gatorade,Sports & Energy Drinks,"When you sweat, you lose more than water. You also lose critical electrolytes, like sodium and potassium, which help regulate fluid level balance throughout the body. Muscles rely on fluid and fuel to thrive on the field. Gatorade Thirst Quencher's carb to fluid ratio is tailor made for efficiency, rehydrating rapidly and feeding muscles with their preferred fuel, carbs, for a one two punch that water can't match.","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade Sports Drink, Lemon Lime, 20oz 4pk Bottles",4.39,Amazon
Monster,Sports & Energy Drinks,"Pack of 10, 16 fluid ounce cans",,"Monster Energy, Original, 16 fl oz, 10 Pack",16.99,Amazon
Gatorade,Sports & Energy Drinks,Gatorade G Series Perform Berry Sports Drink 6-12 fl. oz. Bottles,,"Gatorade Thirst Quencher, Berry-All Star, 12 Ounce (Pack of 6)",4.99,Amazon
Gatorade,Sports & Energy Drinks,"G2 Glacier Freeze flavored sports drink has the same amount of electrolytes as our original gatorade formula, but with only 20 calories per serving. By using a low calorie sports drink to help stay fueled for an ultimate performance. The researchers then took their findings into the lab, and scientifically formulated a new, precisely balanced carbohydrate electrolyte beverage that would adequately replace the key components lost by gator players through sweating and exercise. They called their concoction ‘gatorade’.","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade G2 Thirst Quencher, Glacier Freeze, 20 fl oz Bottles (8 Count)",6.80,Amazon
Gatorade,Sports & Energy Drinks,"Developed for athletes that prefer a performance boost and not a sugar rush. Gatorade Zero has no sugar while maintaining the same proven hydration and fueling benefits of Gatorade Thirst Quencher. With three refreshing flavors to keep you in the game, you won’t even miss what’s missing.","Important information

Safety Warning
This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade Zero Sugar Thirst Quencher, Orange, 20 Ounce Bottles (Pack of 12)",8.24,Amazon
Manitoba Harvest,Snacks & Sweets,"Manitoba Harvest Organic Hemp PRO FIBER is packed with 13g fiber per 30g serving. One serving of hemp PRO FIBER represents 52% of the recommended daily intake (RDI) fiber- greater than a similar serving of Metamucil or bran cereal. Fiber is an important part of any diet, aiding in digestive health and helping You feel full longer. Plus, with hemp PRO FIBER you are also benefitting from protein and healthy omegas. Blend into smoothies, or add to baking recipes like you would spelt flour. Made with only organic hemp.","Important information

Safety Warning
Refrigerate after opening. Best consumed within 8 weeks after opening. This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Ingredients
Organic Hemp Protein Powder


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Manitoba Harvest Hemp Yeah! Organic Max Fiber Protein Powder, Unsweetened, 16oz; with 13g of Fiber, 13g Protein and 2.5g Omegas 3&6 per Serving, Keto-Friendly, Preservative Free, Non-GMO",11.87,Whole Foods Market
Monster Energy,Sports & Energy Drinks,"While chillin’ at the Rehab pool party in Vegas, admiring the flesh parade, and pondering the wisdom of doubling down when the dealer shows a face card, it HIT ME! We need a new drink, one that can do it all: a triple threat that quenches thirst, fires you up, and is the perfect choice after a hard day’s night. Monster Rehab Tea + Lemonade: RE-FRESH, RE-HYDRATE, RE-VIVE, or in other words, Re-habilitate with a killer mix of tea, lemonade, electrolytes, and our bad-ass Monster Rehab energy blend. Rehab the Beast!","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Monster Rehab, Tea + Lemonade, 10 Count",21.06,Amazon
Gatorade,Sports & Energy Drinks,"Gatorade g organic, mixed berry is a thirst-quenching drink with carbohydrates from organic cane sugar. This kosher, electrolyte blend has sea salt and natural flavors. This hydrating beverage does not contain fruit juice or added color. Each bottle of gatorade g organic, mixed berry contains 16.9 fl oz of product.","Important information

Ingredients
Water, Organic Sugar, Citric Acid, Organic Natural Flavor, Sea Salt, Sodium Citrate, Potassium Chloride.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade, Mixed Berry Organic, 16.9 Fl Oz",1.99,Whole Foods Market
Monster Energy,Sports & Energy Drinks,"Pack of 4, 16 fluid ounce Cans","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Monster Energy, Pipeline Punch, 16 fl oz, 4 Pack",7.99,Amazon
Gatorade,Sports & Energy Drinks,NaN,"Important information

Ingredients
Water, Organic Cane Sugar, Citric Acid, Organic Natural Flavor, Sea Salt, Sodium Citrate, Potassium Chloride.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade, Passion Fruit Organic, 16.9 Fl Oz",1.99,Whole Foods Market
Mountain Dew,Sports & Energy Drinks,"Designed for Gaming, MTN DEW AMP GAME FUEL is specially developed to give you the boost you need specially crafted with theanine and caffeine, which in combination have been shown to improve accuracy and alertness. The can features specially textured ink to provide a superior grip, and a re sealable lid designed for one handed opening and closing so you can power up while staying in the game.Caffeine in combination with theanine has been shown to improve accuracy and alertness.","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Mountain Dew AMP Game Fuel, Original Charged Dew, 16.9 Ounce",1.96,Amazon
Monster Energy,Sports & Energy Drinks,"Pack of 4, 15.5 fluid ounce Cans","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Monster Rehab, Tea + Lemonade, 15.5 fl oz, 4 Pack",6.58,Amazon
Mountain Dew,Sports & Energy Drinks,"Designed for Gaming, MTN DEW AMP GAME FUEL is specially developed to give you the boost you need - specially crafted with theanine and caffeine, which in combination have been shown to improve accuracy and alertness. The can features specially textured ink to provide a superior grip, and a re-sealable lid designed for one-handed opening and closing - so you can power up while staying in the game.Caffeine in combination with theanine has been shown to improve accuracy and alertness.","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Mountain Dew AMP Game Fuel, Berry Blast, 16.9 Ounce",1.96,Amazon
Gatorade,Sports & Energy Drinks,Gatorade: Rapidly Replace What Athletes Lose During ActivityGatorade is scientifically formulated to rapidly replace what athletes lose during activity so they can perform at their best. Its proprietary formula of electrolytes carbohydrates and flavor. Delays fatigue and maintains strength.,"Important information

Ingredients
Sucrose, Dextrose, Citric Acid, Natural And Artificial Flavor, Salt, Sodium Citrate, Monopotassium Phosphate, Calcium Silicate, Modifid Food Starch, Yellow 5.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade Lemon Lime Powder, 18.4 oz",6.49,Amazon
Red Bull,Sports & Energy Drinks,"RED BULL ORANGE EDITION. SAME WINGS, CHOOSE YOUR TASTE. Red Bull Orange Edition is a carbonated beverage that combines the wings of a Red Bull Energy Drink with the taste of tangerine - artificially flavored  WHEN TO DRINKRed Bull is a great energy drink to have by your side, and is appreciated throughout the world by top athletes and busy professionals to college students and travelers on long journeys. For those who need WINGS for intense meetings or creative brainstorming sessions, on the field with teammates or competitors, or simply want to get the most out of life, a chilled can of Red Bull ORANGE Edition Gives You Wings.  WHAT'S INSIDE THE CANCaffeine was well known for its stimulating effects by ancient civilizations who consumed it from natural sources like tea, coffee, cacao beans & cola nuts. Taurine is an amino acid, naturally occurring in the human body and present in commonly consumed foods. It is involved in a wide range of biological processes. B-Group Vitamins are essential micronutrients that are required for maintaining normal body functionsSucrose and Glucose are different types of sugars which are also contained in commonly consumed foods. Water Naturally, water is a key ingredient of Red Bull.  WHAT YOU ADD TO YOUR BASKET Red Bull Orange Edition pack of 4, 8.4-Fluid ounce per can.","Important information

Safety Warning
Not recommended for children, pregnant or nursing women and persons sensitive to caffeine.


Directions
Caffeine content: 80 mg/8.4 fl oz.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Red Bull Orange Edition, Tangerine Energy Drink, 8.4 Fluid Ounce, 4 Count",7.86,Amazon
Gatorade,Sports & Energy Drinks,"Developed for athletes that prefer a performance boost and not a sugar rush. Gatorade Zero has no sugar while maintaining the same proven hydration and fueling benefits of Gatorade Thirst Quencher. With three refreshing flavors to keep you in the game, you won’t even miss what’s missing.","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Gatorade G Zero, Berry, 12 Count",7.01,Amazon
Guayaki,Sports & Energy Drinks,"Guayaki yerba mate, yerba mate enlighten mint is a dose of powerhouse caffeine and a delicious way to wake up. This energy drink is kosher, gluten-free, organic and Non-GMO. It is botanically blended with organic brewed yerba mate, organic peppermint, organic sugar, organic honey and organic mint flavor, and has only 60 calories per serving. Each can contains 15.5 fl oz of flavored energy.","Important information

Ingredients
(Purified Water, Organic Brewed Yerba Mate, Organic Brewed Peppermint), Organic Cane Sugar , Organic Yerba Mate Extract , Organic Honey , Citric Acid, Organic Mint Natural Flavor. (†Fair Trade Ingredient)


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Guayaki Organic Yerba Mate, Enlighten Mint, 16 oz",$2.79,Whole Foods Market
Vive Organic,Sports & Energy Drinks,Vive Organic Immunity Boost Wellness Shot Includes Ingredients From Nature That May Help You Resist Infection. Each 2 Oz. Drink Includes A Botanical Tonic Of Echinacea As Well As Ginger And Turmeric Roots. The Shot Is Finished With Zesty Lemon And Sweet Pineapple Juice Seasoned With A Kick Of Black Pepper For A Complex And Refreshing Taste. Our Ingredients Are Non-Gmo And Certified Organic By The Usda.,"Important information

Ingredients
Organic Pineapple Juice, Organic Ginger Root Juice, Organic Turmeric Root Juice, Organic Lemon Juice, Organic Echinacea Purpurea Juice, Organic Ground Black Pepper


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Vive Organic, Original Immunity Boost Shot Organic, 2 Fl Oz",3.99,Bristol Farms
Monster Energy,Sports & Energy Drinks,"Pack of 4, 16 fluid ounce Cans","Important information

Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Java Monster Mean Bean Cans, 11 fl oz, 4 ct",6.58,Amazon
Propel,Sports & Energy Drinks,Propel® Grape Water Beverage with Electrolytes & Vitamins.Zero calories.Naturally flavored with other natural flavors.From the makers of G®.0 calories per bottle.24 fl oz (1.5 pt) 710ml.,"Important information

Safety Warning
This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Ingredients
Water,Citric Acid, Sodium Hexametaphosphate, Potassium Sorbate, Ascorbic Acid, Sucralose, Sodium Citrate, Potassium Citrate, Acesulfame Potassium, Niacinamide, Calcium Disodium, Acetate, Calcium Pantothenate, Pyridoxine Hydrochloride


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Propel Zero Nutrient Enhanced Water, Grape, 24 Fl Oz, Pack of 1",1.19,Amazon
Crystal Light,Sports & Energy Drinks,"Crystal Light Berry Sangria Drink MixThe all time favorite Crystal Light brings a new revitalizing Berry Sangria drink mix that is sugar free, containing less than 2% of sucralose for artificial sweetness. Being USA certified, the product is made with precision and advanced formula and quality. It contains Natural Flavor, no juice or caffeine, pure drink mix for the pure hearted people.Leading Beverage with No CaloriesCrystal Light is proud to be known as one of those high quality products that have 0 calories in each 1/24 bottle, making it one of the leading brands offering such a healthy drink to be consumed by people of each age.","Important information

Safety Warning
This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Ingredients
Water, Malic Acid, Citric Acid, Glycerin, Natural Flavor, contains less than 2% of Sucralose and Acesulfame Potassium (Sweeteners), Potassium Citrate, Red 40, Blue 1, Potassium Sorbate (Preservative).


Directions
Go ahead.Indulge.Flip open. Give a quick squeeze or more into water.Enjoy!One squeeze for each 8 fl oz serving.Always add to water for the great taste of Crystal Light.Does not need refrigeration.For best quality, use within one month of opening.


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.",Crystal Light Berry Sangria Liquid Drink Mix (1.62 oz Bottle),4.09,Amazon
bai,Sports & Energy Drinks,"Bai Narino Peach Tea is truly brewed tea that is infused with antioxidants for a delightful taste. With only 5 calories and 1 gram of sugar per serving, Bai Supertea is the only low-calorie tea available on the market that is sweet without using artificial sweeteners. Combining the refreshing flavors of iced tea and peach, Bai Narino Peach Tea is a delicious choice you can feel super about.","Important information

Safety Warning
This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings


Legal Disclaimer
Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.","Bai Iced Tea, Narino Peach, Antioxidant Infused Supertea, Crafted with Real Tea (Black Tea, White Tea), 18 Fluid Ounce Bottles, 6 count",11.94,Amazon
